index,Позитив,Негатив,Комментарий,Отзывы
36,"Хорошие! Качество Меррис! Даже получше ! Не маломерят , размер в размер, может даже чуть больше , нет влажности внутри, не протекают. Тонкие, хватает достаточно долго по времени ",Понравились ! ,В отличие от памперс премиум кеа идут отлично по размеру ! Не маломерят. в отличие от меррис и памперс премиум нет влаги внутри. А по цене гораздо выгоднее ! Понравились ! ,"хорошие качество меррис даже получше  не маломерят , размер в размер, может даже чуть больше , нет влажности внутри, не протекают  тонкие, хватает достаточно долго по времени , понравились  , в отличие от памперс премиум кеа идут отлично по размеру  не маломерят  в отличие от меррис и памперс премиум нет влаги внутри  а по цене гораздо выгоднее  понравились  "
37,Супер памперсы  ,Их нет ,"Отлично выдерживают ночь ,не протекают ,мягкие  ","супер памперсы  , их нет , отлично выдерживают ночь ,не протекают ,мягкие  "
38,,доставка  ,"Рябята , не в первый раз ! товар приходит мало того что без какой либо упаковки , так еще и с повреждением !!!!
Не дрова все таки везете ,а товары для ДЕТЕЙ , раз уж упаковать не можете ,перевозите тогда аккуратней .

к самим подгузникам претензий нет .
 ",", доставка  , рябята , не в первый раз  товар приходит мало того что без какой либо упаковки , так еще и с повреждением не дрова все таки везете ,а товары для детей , раз уж упаковать не можете ,перевозите тогда аккуратней  к самим подгузникам претензий нет   "
39,ценна  ,нет  ,отличные подгузники. мягкие. ночь выдерживают. рекомендую к покупке ,"ценна  , нет  , отличные подгузники  мягкие  ночь выдерживают  рекомендую к покупке "
40,"Удобные, хорошо впитывают  ",,Буду брать еще  ,"удобные, хорошо впитывают  , , буду брать еще  "
41,"Лучшие подгузники из 7 вариантов, что пробовали. Именно ultra care tape. Мягкие, сухие, никакого раздражения. С обезьянками того же производителя появлялось раздражение  ",Нет. Они замечательные.  ,,"лучшие подгузники из 7 вариантов, что пробовали  именно ultra care tape  мягкие, сухие, никакого раздражения  с обезьянками того же производителя появлялось раздражение  , нет  они замечательные   , "
42,"очень мягкие, не протекают  ",,замечательные трусики за отличную стоимость ,"очень мягкие, не протекают  , , замечательные трусики за отличную стоимость "
43,"цена, качество  ",нет ,"Очень нравятся эти подгузники, по качеству похожи на Huggies elite soft, но по цене дешевле, что радует) есть индикаторы влаги, удобные застежки. ","цена, качество  , нет , очень нравятся эти подгузники, по качеству похожи на huggies elite soft, но по цене дешевле, что радует есть индикаторы влаги, удобные застежки  "
44,цена ,нет ,хорошие подгузники за такую цену ,"цена , нет , хорошие подгузники за такую цену "
45,Отличная цена  ,Не выявлено  ,"Мои любимые подгузники! Мягкие, тонкие, не протекают, кожа малыша остается сухой! ","отличная цена  , не выявлено  , мои любимые подгузники мягкие, тонкие, не протекают, кожа малыша остается сухой "
46,мягкие как yokosan но дешевле ,,,"мягкие как yokosan но дешевле , , "
47,"Качество, цена ",Не нашли ,Используем только их теперь ,"качество, цена , не нашли , используем только их теперь "
